Day,Date,Control1_Alive,Control1_Dead,Control2_Alive,Control2_Dead,Control3_Alive,Control3_Dead,Copper1_Alive,Copper1_Dead,Copper2_Alive,Copper2_Dead,Copper3_Alive,Copper3_Dead,DTT1_Alive,DTT1_Dead,DTT2_Alive,DTT2_Dead,DTT3_Alive,DTT3_Dead
5,1/5/2024,77,0,81,0,98,0,80,0,90,0,107,0,63,21,42,35,63,35
8,1/8/2024,104,0,83,0,85,0,93,0,92,0,89,0,35,42,42,56,49,42
10,1/10/2024,89,0,89,0,96,0,83,0,91,0,84,0,14,63,21,70,7,56
12,1/12/2024,82,0,88,0,99,0,93,0,91,0,99,1,0,70,0,80,0,73
15,1/15/2024,82,5,85,7,91,3,89,0,112,2,94,2,0,63,0,77,0,84
17,1/17/2024,95,12,90,9,99,12,99,9,87,9,96,6,,,,,,
19,1/19/2024,63,18,87,27,81,15,68,2,57,6,80,12,,,,,,
22,1/22/2024,63,54,27,42,81,57,96,42,80,32,57,18,,,,,,
24,1/24/2024,54,66,57,93,30,96,60,24,86,46,56,36,,,,,,
26,1/26/2024,18,54,0,54,6,60,60,30,48,36,66,36,,,,,,
29,1/29/2024,0,72,0,78,0,54,18,60,6,78,6,66,,,,,,
31,1/31/2024,0,66,0,48,0,54,0,84,0,72,0,66,,,,,,
33,2/2/2024,0,0,0,0,0,0,0,78,0,60,0,78,,,,,,
